Episode 59: lambda_i = 0, phi_i_L = 3.6, phi_i_H = 4.5, Action: phi_i_L[0] increased by 0.1
Episode 6335: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 3.1000000000000014, Action: phi_i_H[3] increased by 0.1
Episode 6336: lambda_i = 0, phi_i_L = 0.499999999999998, phi_i_H = 3.4000000000000012, Action: phi_i_H[3] increased by 0.1
Episode 6343: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 3.700000000000002, Action: phi_i_H[3] increased by 0.1
Episode 6352: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 2.700000000000001, Action: phi_i_H[4] decreased by 0.1
Episode 6369: lambda_i = 1, phi_i_L = 1.5999999999999992, phi_i_H = 5.799999999999994, Action: phi_i_H[4] decreased by 0.1
Episode 6377: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 2.700000000000001, Action: phi_i_L[4] decreased by 0.1
Episode 6388: lambda_i = 2, phi_i_L = 3.5000000000000013, phi_i_H = 9.299999999999986, Action: phi_i_H[2] increased by 0.1
Episode 6391: lambda_i = 2, phi_i_L = 3.6000000000000014, phi_i_H = 9.299999999999986, Action: phi_i_L[2] increased by 0.1
Episode 6401: lambda_i = 1, phi_i_L = 1.5999999999999992, phi_i_H = 5.899999999999993, Action: phi_i_H[1] increased by 0.1
Episode 6413: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 3.1000000000000014, Action: phi_i_L[3] decreased by 0.1
Episode 6432: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 3.700000000000002, Action: phi_i_L[3] decreased by 0.1
Episode 6439: lambda_i = 0, phi_i_L = 0.499999999999998, phi_i_H = 3.4000000000000012, Action: phi_i_L[3] decreased by 0.1
Episode 6454: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 3.1000000000000014, Action: phi_i_L[3] decreased by 0.1
Episode 6457: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 2.700000000000001, Action: phi_i_L[4] decreased by 0.1
Episode 6471: lambda_i = 2, phi_i_L = 3.6000000000000014, phi_i_H = 9.299999999999986, Action: phi_i_L[4] decreased by 0.1
Episode 6472: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 3.800000000000002, Action: phi_i_H[5] increased by 0.1
Episode 6476: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 2.700000000000001, Action: phi_i_H[5] increased by 0.1
Episode 6477: lambda_i = 1, phi_i_L = 1.5999999999999992, phi_i_H = 5.899999999999993, Action: phi_i_H[5] increased by 0.1
Episode 6481: lambda_i = 2, phi_i_L = 3.6000000000000014, phi_i_H = 9.299999999999986, Action: phi_i_H[5] increased by 0.1
Episode 6504: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 3.1000000000000014, Action: phi_i_H[5] increased by 0.1
Episode 6518: lambda_i = 0, phi_i_L = 0.499999999999998, phi_i_H = 3.300000000000001, Action: phi_i_H[0] decreased by 0.1
Episode 6547: lambda_i = 1, phi_i_L = 1.5999999999999992, phi_i_H = 5.999999999999993, Action: phi_i_H[1] increased by 0.1
Episode 6553: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 2.700000000000001, Action: phi_i_H[1] increased by 0.1
Episode 6575: lambda_i = 0, phi_i_L = 0.499999999999998, phi_i_H = 3.300000000000001, Action: phi_i_H[1] increased by 0.1
Episode 6576: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 3.800000000000002, Action: phi_i_H[1] increased by 0.1
Episode 6585: lambda_i = 2, phi_i_L = 3.7000000000000015, phi_i_H = 9.299999999999986, Action: phi_i_L[2] increased by 0.1
Episode 6589: lambda_i = 1, phi_i_L = 1.5999999999999992, phi_i_H = 5.999999999999993, Action: phi_i_L[2] increased by 0.1
Episode 6592: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 3.800000000000002, Action: phi_i_L[2] increased by 0.1
Episode 6595: lambda_i = 3, phi_i_L = 0.1, phi_i_H = 3.1000000000000014, Action: phi_i_L[3] increased by 0.1
Episode 6613: lambda_i = 0, phi_i_L = 0.499999999999998, phi_i_H = 3.300000000000001, Action: phi_i_L[3] increased by 0.1
Episode 6623: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 2.700000000000001, Action: phi_i_L[3] increased by 0.1
Episode 6653: lambda_i = 2, phi_i_L = 3.7000000000000015, phi_i_H = 9.399999999999986, Action: phi_i_H[2] increased by 0.1
Episode 6663: lambda_i = 2, phi_i_L = 3.8000000000000016, phi_i_H = 9.399999999999986, Action: phi_i_L[2] increased by 0.1
Episode 6665: lambda_i = 3, phi_i_L = 0.1, phi_i_H = 3.1000000000000014, Action: phi_i_L[2] increased by 0.1
Episode 6668: lambda_i = 1, phi_i_L = 1.5999999999999992, phi_i_H = 6.0999999999999925, Action: phi_i_H[1] increased by 0.1
Episode 6681: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 3.900000000000002, Action: phi_i_H[5] increased by 0.1
Episode 6690: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 2.700000000000001, Action: phi_i_H[5] increased by 0.1
Episode 6694: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 3.900000000000002, Action: phi_i_H[5] increased by 0.1
Episode 6702: lambda_i = 1, phi_i_L = 1.6999999999999993, phi_i_H = 6.0999999999999925, Action: phi_i_L[1] increased by 0.1
Episode 6723: lambda_i = 0, phi_i_L = 0.499999999999998, phi_i_H = 3.300000000000001, Action: phi_i_L[1] increased by 0.1
Episode 6725: lambda_i = 3, phi_i_L = 0.1, phi_i_H = 3.1000000000000014, Action: phi_i_L[1] increased by 0.1
Episode 6738: lambda_i = 2, phi_i_L = 3.8000000000000016, phi_i_H = 9.399999999999986, Action: phi_i_L[1] increased by 0.1
Episode 6741: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 3.900000000000002, Action: phi_i_L[1] increased by 0.1
Episode 6742: lambda_i = 0, phi_i_L = 0.499999999999998, phi_i_H = 3.200000000000001, Action: phi_i_H[0] decreased by 0.1
Episode 6776: lambda_i = 2, phi_i_L = 3.9000000000000017, phi_i_H = 9.399999999999986, Action: phi_i_L[2] increased by 0.1
Episode 6783: lambda_i = 0, phi_i_L = 0.499999999999998, phi_i_H = 3.200000000000001, Action: phi_i_L[2] increased by 0.1
Episode 6804: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 3.800000000000002, Action: phi_i_H[5] decreased by 0.1
Episode 6812: lambda_i = 1, phi_i_L = 1.6999999999999993, phi_i_H = 6.0999999999999925, Action: phi_i_H[5] decreased by 0.1
Episode 6817: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 2.700000000000001, Action: phi_i_H[5] decreased by 0.1
Episode 6819: lambda_i = 1, phi_i_L = 1.7999999999999994, phi_i_H = 6.0999999999999925, Action: phi_i_L[1] increased by 0.1
Episode 6828: lambda_i = 2, phi_i_L = 3.9000000000000017, phi_i_H = 9.399999999999986, Action: phi_i_L[1] increased by 0.1
Episode 6829: lambda_i = 3, phi_i_L = 0.1, phi_i_H = 3.0000000000000013, Action: phi_i_H[3] decreased by 0.1
Episode 6847: lambda_i = 0, phi_i_L = 0.599999999999998, phi_i_H = 3.200000000000001, Action: phi_i_L[0] increased by 0.1
Episode 6864: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 3.800000000000002, Action: phi_i_L[0] increased by 0.1
Episode 6868: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 2.700000000000001, Action: phi_i_L[0] increased by 0.1
Episode 6875: lambda_i = 0, phi_i_L = 0.599999999999998, phi_i_H = 3.200000000000001, Action: phi_i_L[0] increased by 0.1
Episode 6880: lambda_i = 3, phi_i_L = 0.1, phi_i_H = 3.0000000000000013, Action: phi_i_L[0] increased by 0.1
Episode 6884: lambda_i = 2, phi_i_L = 3.9000000000000017, phi_i_H = 9.399999999999986, Action: phi_i_L[0] increased by 0.1
Episode 6910: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 3.800000000000002, Action: phi_i_L[0] increased by 0.1
Episode 6924: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 2.700000000000001, Action: phi_i_L[0] increased by 0.1
Episode 6936: lambda_i = 1, phi_i_L = 1.7999999999999994, phi_i_H = 6.0999999999999925, Action: phi_i_L[0] increased by 0.1
Episode 6946: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 2.700000000000001, Action: phi_i_L[4] decreased by 0.1
Episode 6953: lambda_i = 1, phi_i_L = 1.7999999999999994, phi_i_H = 6.0999999999999925, Action: phi_i_L[4] decreased by 0.1
Episode 6954: lambda_i = 3, phi_i_L = 0.1, phi_i_H = 3.0000000000000013, Action: phi_i_L[4] decreased by 0.1
Episode 6959: lambda_i = 2, phi_i_L = 3.9000000000000017, phi_i_H = 9.399999999999986, Action: phi_i_L[4] decreased by 0.1
Episode 6973: lambda_i = 0, phi_i_L = 0.599999999999998, phi_i_H = 3.200000000000001, Action: phi_i_L[4] decreased by 0.1
Episode 6992: lambda_i = 3, phi_i_L = 0.1, phi_i_H = 3.0000000000000013, Action: phi_i_L[4] decreased by 0.1
Episode 6993: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 3.800000000000002, Action: phi_i_L[5] decreased by 0.1
Episode 7002: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 3.800000000000002, Action: phi_i_L[5] decreased by 0.1
Episode 7018: lambda_i = 2, phi_i_L = 3.9000000000000017, phi_i_H = 9.399999999999986, Action: phi_i_L[5] decreased by 0.1
Episode 7029: lambda_i = 3, phi_i_L = 0.1, phi_i_H = 3.0000000000000013, Action: phi_i_L[5] decreased by 0.1
Episode 7050: lambda_i = 0, phi_i_L = 0.599999999999998, phi_i_H = 3.200000000000001, Action: phi_i_L[5] decreased by 0.1
Episode 7071: lambda_i = 3, phi_i_L = 0.1, phi_i_H = 3.1000000000000014, Action: phi_i_H[3] increased by 0.1
Episode 7076: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 3.800000000000002, Action: phi_i_H[3] increased by 0.1
Episode 7079: lambda_i = 2, phi_i_L = 3.9000000000000017, phi_i_H = 9.399999999999986, Action: phi_i_H[3] increased by 0.1
Episode 7083: lambda_i = 0, phi_i_L = 0.499999999999998, phi_i_H = 3.200000000000001, Action: phi_i_L[0] decreased by 0.1
Episode 7087: lambda_i = 1, phi_i_L = 1.7999999999999994, phi_i_H = 6.0999999999999925, Action: phi_i_L[0] decreased by 0.1
Episode 7089: lambda_i = 1, phi_i_L = 1.7999999999999994, phi_i_H = 6.0999999999999925, Action: phi_i_L[0] decreased by 0.1
Episode 7090: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 3.800000000000002, Action: phi_i_L[0] decreased by 0.1
Episode 7120: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 2.700000000000001, Action: phi_i_L[4] decreased by 0.1
Episode 7148: lambda_i = 2, phi_i_L = 3.8000000000000016, phi_i_H = 9.399999999999986, Action: phi_i_L[2] decreased by 0.1
Episode 7152: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 3.800000000000002, Action: phi_i_L[2] decreased by 0.1
Episode 7163: lambda_i = 1, phi_i_L = 1.7999999999999994, phi_i_H = 6.0999999999999925, Action: phi_i_L[2] decreased by 0.1
Episode 7178: lambda_i = 1, phi_i_L = 1.7999999999999994, phi_i_H = 6.0999999999999925, Action: phi_i_L[2] decreased by 0.1
Episode 7179: lambda_i = 0, phi_i_L = 0.499999999999998, phi_i_H = 3.200000000000001, Action: phi_i_L[2] decreased by 0.1
Episode 7180: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 3.800000000000002, Action: phi_i_L[2] decreased by 0.1
Episode 7183: lambda_i = 2, phi_i_L = 3.8000000000000016, phi_i_H = 9.399999999999986, Action: phi_i_L[2] decreased by 0.1
Episode 7189: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 2.700000000000001, Action: phi_i_L[2] decreased by 0.1
Episode 7198: lambda_i = 3, phi_i_L = 0.1, phi_i_H = 3.1000000000000014, Action: phi_i_L[2] decreased by 0.1
Episode 7216: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 2.700000000000001, Action: phi_i_L[2] decreased by 0.1
Episode 7221: lambda_i = 0, phi_i_L = 0.499999999999998, phi_i_H = 3.200000000000001, Action: phi_i_L[2] decreased by 0.1
Episode 7242: lambda_i = 3, phi_i_L = 0.1, phi_i_H = 3.1000000000000014, Action: phi_i_L[2] decreased by 0.1
Episode 7244: lambda_i = 2, phi_i_L = 3.8000000000000016, phi_i_H = 9.399999999999986, Action: phi_i_L[2] decreased by 0.1
Episode 7254: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 3.800000000000002, Action: phi_i_L[2] decreased by 0.1
Episode 7263: lambda_i = 1, phi_i_L = 1.7999999999999994, phi_i_H = 6.0999999999999925, Action: phi_i_L[2] decreased by 0.1
Episode 7268: lambda_i = 2, phi_i_L = 3.8000000000000016, phi_i_H = 9.399999999999986, Action: phi_i_L[2] decreased by 0.1
Episode 7292: lambda_i = 1, phi_i_L = 1.7999999999999994, phi_i_H = 6.0999999999999925, Action: phi_i_L[2] decreased by 0.1
Episode 7305: lambda_i = 0, phi_i_L = 0.499999999999998, phi_i_H = 3.100000000000001, Action: phi_i_H[0] decreased by 0.1
Episode 7307: lambda_i = 3, phi_i_L = 0.1, phi_i_H = 3.2000000000000015, Action: phi_i_H[3] increased by 0.1
Episode 7316: lambda_i = 0, phi_i_L = 0.499999999999998, phi_i_H = 3.100000000000001, Action: phi_i_H[3] increased by 0.1
Episode 7323: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 2.700000000000001, Action: phi_i_L[4] decreased by 0.1
Episode 7326: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 2.800000000000001, Action: phi_i_H[4] increased by 0.1
Episode 7340: lambda_i = 3, phi_i_L = 0.1, phi_i_H = 3.2000000000000015, Action: phi_i_H[4] increased by 0.1
Episode 7354: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 3.800000000000002, Action: phi_i_H[4] increased by 0.1
Episode 7363: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 3.900000000000002, Action: phi_i_H[5] increased by 0.1
Episode 7373: lambda_i = 0, phi_i_L = 0.499999999999998, phi_i_H = 3.100000000000001, Action: phi_i_H[5] increased by 0.1
Episode 7374: lambda_i = 2, phi_i_L = 3.8000000000000016, phi_i_H = 9.399999999999986, Action: phi_i_H[5] increased by 0.1
Episode 7402: lambda_i = 2, phi_i_L = 3.8000000000000016, phi_i_H = 9.499999999999986, Action: phi_i_H[2] increased by 0.1
Episode 7412: lambda_i = 1, phi_i_L = 1.7999999999999994, phi_i_H = 6.199999999999992, Action: phi_i_H[1] increased by 0.1
Episode 7415: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 2.800000000000001, Action: phi_i_H[1] increased by 0.1
Episode 7416: lambda_i = 1, phi_i_L = 1.6999999999999993, phi_i_H = 6.199999999999992, Action: phi_i_L[1] decreased by 0.1
Episode 7428: lambda_i = 0, phi_i_L = 0.399999999999998, phi_i_H = 3.100000000000001, Action: phi_i_L[0] decreased by 0.1
Episode 7433: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 2.800000000000001, Action: phi_i_L[0] decreased by 0.1
Episode 7464: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 3.900000000000002, Action: phi_i_L[0] decreased by 0.1
Episode 7470: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 3.900000000000002, Action: phi_i_L[5] decreased by 0.1
Episode 7473: lambda_i = 1, phi_i_L = 1.6999999999999993, phi_i_H = 6.199999999999992, Action: phi_i_L[5] decreased by 0.1
Episode 7498: lambda_i = 3, phi_i_L = 0.1, phi_i_H = 3.3000000000000016, Action: phi_i_H[3] increased by 0.1
Episode 7499: lambda_i = 2, phi_i_L = 3.9000000000000017, phi_i_H = 9.499999999999986, Action: phi_i_L[2] increased by 0.1
Episode 7503: lambda_i = 3, phi_i_L = 0.1, phi_i_H = 3.3000000000000016, Action: phi_i_L[2] increased by 0.1
Episode 7516: lambda_i = 1, phi_i_L = 1.5999999999999992, phi_i_H = 6.199999999999992, Action: phi_i_L[1] decreased by 0.1
Episode 7523: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 2.800000000000001, Action: phi_i_L[1] decreased by 0.1
Episode 7549: lambda_i = 0, phi_i_L = 0.29999999999999805, phi_i_H = 3.100000000000001, Action: phi_i_L[0] decreased by 0.1
Episode 7554: lambda_i = 0, phi_i_L = 0.29999999999999805, phi_i_H = 3.100000000000001, Action: phi_i_L[0] decreased by 0.1
Episode 7567: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 2.9000000000000012, Action: phi_i_H[4] increased by 0.1
Episode 7568: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 3.900000000000002, Action: phi_i_H[4] increased by 0.1
Episode 7582: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 3.900000000000002, Action: phi_i_H[4] increased by 0.1
Episode 7607: lambda_i = 3, phi_i_L = 0.1, phi_i_H = 3.3000000000000016, Action: phi_i_H[4] increased by 0.1
Episode 7608: lambda_i = 1, phi_i_L = 1.5999999999999992, phi_i_H = 6.199999999999992, Action: phi_i_H[4] increased by 0.1
Episode 7611: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 2.9000000000000012, Action: phi_i_H[4] increased by 0.1
Episode 7612: lambda_i = 2, phi_i_L = 3.9000000000000017, phi_i_H = 9.499999999999986, Action: phi_i_H[4] increased by 0.1
Episode 7614: lambda_i = 1, phi_i_L = 1.5999999999999992, phi_i_H = 6.199999999999992, Action: phi_i_H[4] increased by 0.1
Episode 7641: lambda_i = 3, phi_i_L = 0.1, phi_i_H = 3.3000000000000016, Action: phi_i_H[4] increased by 0.1
Episode 7644: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 3.900000000000002, Action: phi_i_H[4] increased by 0.1
Episode 7649: lambda_i = 0, phi_i_L = 0.29999999999999805, phi_i_H = 3.100000000000001, Action: phi_i_H[4] increased by 0.1
Episode 7672: lambda_i = 2, phi_i_L = 3.8000000000000016, phi_i_H = 9.499999999999986, Action: phi_i_L[2] decreased by 0.1
Episode 7682: lambda_i = 0, phi_i_L = 0.29999999999999805, phi_i_H = 3.000000000000001, Action: phi_i_H[0] decreased by 0.1
Episode 7691: lambda_i = 1, phi_i_L = 1.5999999999999992, phi_i_H = 6.199999999999992, Action: phi_i_H[0] decreased by 0.1
Episode 7697: lambda_i = 1, phi_i_L = 1.5999999999999992, phi_i_H = 6.199999999999992, Action: phi_i_H[0] decreased by 0.1
Episode 7708: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 3.900000000000002, Action: phi_i_H[0] decreased by 0.1
Episode 7726: lambda_i = 3, phi_i_L = 0.1, phi_i_H = 3.3000000000000016, Action: phi_i_H[0] decreased by 0.1
Episode 7733: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 2.9000000000000012, Action: phi_i_H[0] decreased by 0.1
Episode 7738: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 3.800000000000002, Action: phi_i_H[5] decreased by 0.1
Episode 7742: lambda_i = 3, phi_i_L = 0.1, phi_i_H = 3.3000000000000016, Action: phi_i_H[5] decreased by 0.1
Episode 7756: lambda_i = 2, phi_i_L = 3.8000000000000016, phi_i_H = 9.499999999999986, Action: phi_i_H[5] decreased by 0.1
Episode 7779: lambda_i = 0, phi_i_L = 0.29999999999999805, phi_i_H = 2.900000000000001, Action: phi_i_H[0] decreased by 0.1
Episode 7785: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 2.9000000000000012, Action: phi_i_L[4] decreased by 0.1
Episode 7799: lambda_i = 2, phi_i_L = 3.9000000000000017, phi_i_H = 9.499999999999986, Action: phi_i_L[2] increased by 0.1
Episode 7800: lambda_i = 5, phi_i_L = 0.1, phi_i_H = 3.800000000000002, Action: phi_i_L[5] increased by 0.1
Episode 7825: lambda_i = 3, phi_i_L = 0.1, phi_i_H = 3.3000000000000016, Action: phi_i_L[5] increased by 0.1
Episode 7838: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 2.9000000000000012, Action: phi_i_L[5] increased by 0.1
Episode 7842: lambda_i = 0, phi_i_L = 0.29999999999999805, phi_i_H = 2.900000000000001, Action: phi_i_L[5] increased by 0.1
Episode 7844: lambda_i = 1, phi_i_L = 1.5999999999999992, phi_i_H = 6.199999999999992, Action: phi_i_L[5] increased by 0.1
Episode 7857: lambda_i = 2, phi_i_L = 3.9000000000000017, phi_i_H = 9.599999999999985, Action: phi_i_H[2] increased by 0.1
Episode 7858: lambda_i = 5, phi_i_L = 0.1, phi_i_H = 3.900000000000002, Action: phi_i_H[5] increased by 0.1
Episode 7866: lambda_i = 0, phi_i_L = 0.29999999999999805, phi_i_H = 2.8000000000000007, Action: phi_i_H[0] decreased by 0.1
Episode 7885: lambda_i = 3, phi_i_L = 0.1, phi_i_H = 3.3000000000000016, Action: phi_i_H[0] decreased by 0.1
Episode 7888: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 2.9000000000000012, Action: phi_i_H[0] decreased by 0.1
Episode 7899: lambda_i = 1, phi_i_L = 1.4999999999999991, phi_i_H = 6.199999999999992, Action: phi_i_L[1] decreased by 0.1
Episode 7906: lambda_i = 2, phi_i_L = 3.9000000000000017, phi_i_H = 9.599999999999985, Action: phi_i_L[1] decreased by 0.1
Episode 7921: lambda_i = 1, phi_i_L = 1.4999999999999991, phi_i_H = 6.199999999999992, Action: phi_i_L[1] decreased by 0.1
Episode 7937: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 3.900000000000002, Action: phi_i_L[5] decreased by 0.1
Episode 7939: lambda_i = 2, phi_i_L = 3.9000000000000017, phi_i_H = 9.599999999999985, Action: phi_i_L[5] decreased by 0.1
Episode 7950: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 3.900000000000002, Action: phi_i_L[5] decreased by 0.1
Episode 7969: lambda_i = 0, phi_i_L = 0.29999999999999805, phi_i_H = 2.7000000000000006, Action: phi_i_H[0] decreased by 0.1
Episode 7977: lambda_i = 0, phi_i_L = 0.29999999999999805, phi_i_H = 2.7000000000000006, Action: phi_i_H[0] decreased by 0.1
Episode 7978: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 2.9000000000000012, Action: phi_i_H[0] decreased by 0.1
Episode 7985: lambda_i = 1, phi_i_L = 1.4999999999999991, phi_i_H = 6.199999999999992, Action: phi_i_H[0] decreased by 0.1
Episode 8004: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 2.9000000000000012, Action: phi_i_H[0] decreased by 0.1
Episode 8022: lambda_i = 1, phi_i_L = 1.4999999999999991, phi_i_H = 6.199999999999992, Action: phi_i_H[0] decreased by 0.1
Episode 8031: lambda_i = 3, phi_i_L = 0.1, phi_i_H = 3.3000000000000016, Action: phi_i_H[0] decreased by 0.1
Episode 8040: lambda_i = 3, phi_i_L = 0.1, phi_i_H = 3.3000000000000016, Action: phi_i_H[0] decreased by 0.1
Episode 8041: lambda_i = 2, phi_i_L = 4.000000000000002, phi_i_H = 9.599999999999985, Action: phi_i_L[2] increased by 0.1
Episode 8044: lambda_i = 0, phi_i_L = 0.29999999999999805, phi_i_H = 2.6000000000000005, Action: phi_i_H[0] decreased by 0.1
Episode 8062: lambda_i = 2, phi_i_L = 4.000000000000002, phi_i_H = 9.599999999999985, Action: phi_i_H[0] decreased by 0.1
Episode 8063: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 3.900000000000002, Action: phi_i_H[0] decreased by 0.1
Episode 8068: lambda_i = 0, phi_i_L = 0.19999999999999804, phi_i_H = 2.6000000000000005, Action: phi_i_L[0] decreased by 0.1
Episode 8076: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 3.0000000000000013, Action: phi_i_H[4] increased by 0.1
Episode 8092: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 3.0000000000000013, Action: phi_i_H[4] increased by 0.1
Episode 8110: lambda_i = 3, phi_i_L = 0.1, phi_i_H = 3.3000000000000016, Action: phi_i_H[4] increased by 0.1
Episode 8127: lambda_i = 2, phi_i_L = 4.000000000000002, phi_i_H = 9.599999999999985, Action: phi_i_H[4] increased by 0.1
Episode 8143: lambda_i = 1, phi_i_L = 1.4999999999999991, phi_i_H = 6.199999999999992, Action: phi_i_H[4] increased by 0.1
Episode 8150: lambda_i = 2, phi_i_L = 4.000000000000002, phi_i_H = 9.699999999999985, Action: phi_i_H[2] increased by 0.1
Episode 8152: lambda_i = 1, phi_i_L = 1.4999999999999991, phi_i_H = 6.199999999999992, Action: phi_i_H[2] increased by 0.1
Episode 8161: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 3.900000000000002, Action: phi_i_H[2] increased by 0.1
Episode 8162: lambda_i = 3, phi_i_L = 0.1, phi_i_H = 3.3000000000000016, Action: phi_i_H[2] increased by 0.1
Episode 8183: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 3.900000000000002, Action: phi_i_L[5] decreased by 0.1
Episode 8187: lambda_i = 0, phi_i_L = 0.19999999999999804, phi_i_H = 2.5000000000000004, Action: phi_i_H[0] decreased by 0.1
Episode 8214: lambda_i = 0, phi_i_L = 0.1, phi_i_H = 2.5000000000000004, Action: phi_i_L[0] decreased by 0.1
Episode 8222: lambda_i = 2, phi_i_L = 4.000000000000002, phi_i_H = 9.699999999999985, Action: phi_i_L[0] decreased by 0.1
Episode 8225: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 3.0000000000000013, Action: phi_i_L[0] decreased by 0.1
Episode 8226: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 3.0000000000000013, Action: phi_i_L[0] decreased by 0.1
Episode 8228: lambda_i = 1, phi_i_L = 1.4999999999999991, phi_i_H = 6.199999999999992, Action: phi_i_L[0] decreased by 0.1
Episode 8232: lambda_i = 3, phi_i_L = 0.1, phi_i_H = 3.3000000000000016, Action: phi_i_L[0] decreased by 0.1
Episode 8240: lambda_i = 0, phi_i_L = 0.1, phi_i_H = 2.4000000000000004, Action: phi_i_H[0] decreased by 0.1
Episode 8250: lambda_i = 1, phi_i_L = 1.5999999999999992, phi_i_H = 6.199999999999992, Action: phi_i_L[1] increased by 0.1
Episode 8255: lambda_i = 2, phi_i_L = 4.000000000000002, phi_i_H = 9.799999999999985, Action: phi_i_H[2] increased by 0.1
Episode 8273: lambda_i = 3, phi_i_L = 0.1, phi_i_H = 3.2000000000000015, Action: phi_i_H[3] decreased by 0.1
Episode 8317: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 2.9000000000000012, Action: phi_i_H[4] decreased by 0.1
Episode 8323: lambda_i = 2, phi_i_L = 4.100000000000001, phi_i_H = 9.799999999999985, Action: phi_i_L[2] increased by 0.1
Episode 8332: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 3.900000000000002, Action: phi_i_L[2] increased by 0.1
Episode 8333: lambda_i = 0, phi_i_L = 0.1, phi_i_H = 2.3000000000000003, Action: phi_i_H[0] decreased by 0.1
Episode 8336: lambda_i = 4, phi_i_L = 0.1, phi_i_H = 2.9000000000000012, Action: phi_i_L[4] increased by 0.1
Episode 8343: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 3.900000000000002, Action: phi_i_L[4] increased by 0.1
Episode 8347: lambda_i = 0, phi_i_L = 0.1, phi_i_H = 2.3000000000000003, Action: phi_i_L[4] increased by 0.1
Episode 8358: lambda_i = 1, phi_i_L = 1.5999999999999992, phi_i_H = 6.0999999999999925, Action: phi_i_H[1] decreased by 0.1
Episode 8374: lambda_i = 2, phi_i_L = 4.100000000000001, phi_i_H = 9.799999999999985, Action: phi_i_H[1] decreased by 0.1
Episode 8393: lambda_i = 3, phi_i_L = 0.1, phi_i_H = 3.2000000000000015, Action: phi_i_H[1] decreased by 0.1
