Episode 73: lambda_i = 0, phi_i_L = 3.6, phi_i_H = 4.5, Action: phi_i_L[0] increased by 0.1
Episode 6366: lambda_i = 0, phi_i_L = 0.20000000000000004, phi_i_H = 4.899999999999999, Action: phi_i_H[2] increased by 0.1
Episode 6378: lambda_i = 1, phi_i_L = 0.2, phi_i_H = 6.999999999999989, Action: phi_i_H[2] increased by 0.1
Episode 6388: lambda_i = 4, phi_i_L = 0.1, phi_i_H = 4.5, Action: phi_i_H[4] increased by 0.1
Episode 6429: lambda_i = 2, phi_i_L = 1.5999999999999996, phi_i_H = 9.099999999999987, Action: phi_i_H[4] increased by 0.1
Episode 6434: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 4.4, Action: phi_i_H[4] increased by 0.1
Episode 6437: lambda_i = 4, phi_i_L = 0.1, phi_i_H = 4.6, Action: phi_i_H[4] increased by 0.1
Episode 6441: lambda_i = 0, phi_i_L = 0.20000000000000004, phi_i_H = 4.999999999999998, Action: phi_i_H[0] increased by 0.1
Episode 6444: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 4.300000000000001, Action: phi_i_H[0] increased by 0.1
Episode 6464: lambda_i = 4, phi_i_L = 0.1, phi_i_H = 4.6, Action: phi_i_H[0] increased by 0.1
Episode 6465: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 4.4, Action: phi_i_H[3] increased by 0.1
Episode 6472: lambda_i = 0, phi_i_L = 0.20000000000000004, phi_i_H = 4.999999999999998, Action: phi_i_H[3] increased by 0.1
Episode 6488: lambda_i = 2, phi_i_L = 1.5999999999999996, phi_i_H = 9.099999999999987, Action: phi_i_H[3] increased by 0.1
Episode 6495: lambda_i = 1, phi_i_L = 0.2, phi_i_H = 7.099999999999989, Action: phi_i_H[1] increased by 0.1
Episode 6510: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 4.300000000000001, Action: phi_i_H[3] decreased by 0.1
Episode 6511: lambda_i = 1, phi_i_L = 0.2, phi_i_H = 7.099999999999989, Action: phi_i_H[3] decreased by 0.1
Episode 6522: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 4.300000000000001, Action: phi_i_H[3] decreased by 0.1
Episode 6532: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 4.4, Action: phi_i_L[5] decreased by 0.1
Episode 6534: lambda_i = 0, phi_i_L = 0.20000000000000004, phi_i_H = 4.899999999999999, Action: phi_i_H[0] decreased by 0.1
Episode 6539: lambda_i = 0, phi_i_L = 0.20000000000000004, phi_i_H = 4.899999999999999, Action: phi_i_H[0] decreased by 0.1
Episode 6561: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 4.4, Action: phi_i_H[0] decreased by 0.1
Episode 6588: lambda_i = 4, phi_i_L = 0.1, phi_i_H = 4.6, Action: phi_i_H[0] decreased by 0.1
Episode 6591: lambda_i = 1, phi_i_L = 0.2, phi_i_H = 7.099999999999989, Action: phi_i_H[0] decreased by 0.1
Episode 6592: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 4.300000000000001, Action: phi_i_H[0] decreased by 0.1
Episode 6595: lambda_i = 2, phi_i_L = 1.5999999999999996, phi_i_H = 9.099999999999987, Action: phi_i_H[0] decreased by 0.1
Episode 6611: lambda_i = 0, phi_i_L = 0.20000000000000004, phi_i_H = 4.899999999999999, Action: phi_i_H[0] decreased by 0.1
Episode 6612: lambda_i = 4, phi_i_L = 0.1, phi_i_H = 4.6, Action: phi_i_H[0] decreased by 0.1
Episode 6648: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 4.300000000000001, Action: phi_i_L[3] decreased by 0.1
Episode 6656: lambda_i = 2, phi_i_L = 1.5999999999999996, phi_i_H = 9.099999999999987, Action: phi_i_L[3] decreased by 0.1
Episode 6672: lambda_i = 1, phi_i_L = 0.2, phi_i_H = 7.099999999999989, Action: phi_i_L[3] decreased by 0.1
Episode 6676: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 4.4, Action: phi_i_L[3] decreased by 0.1
Episode 6693: lambda_i = 4, phi_i_L = 0.1, phi_i_H = 4.6, Action: phi_i_L[3] decreased by 0.1
Episode 6700: lambda_i = 4, phi_i_L = 0.1, phi_i_H = 4.6, Action: phi_i_L[3] decreased by 0.1
Episode 6704: lambda_i = 1, phi_i_L = 0.2, phi_i_H = 7.099999999999989, Action: phi_i_L[3] decreased by 0.1
Episode 6705: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 4.4, Action: phi_i_L[3] decreased by 0.1
Episode 6718: lambda_i = 0, phi_i_L = 0.20000000000000004, phi_i_H = 4.799999999999999, Action: phi_i_H[0] decreased by 0.1
Episode 6727: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 4.4, Action: phi_i_H[3] increased by 0.1
Episode 6735: lambda_i = 0, phi_i_L = 0.10000000000000003, phi_i_H = 4.799999999999999, Action: phi_i_L[0] decreased by 0.1
Episode 6742: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 4.4, Action: phi_i_L[3] decreased by 0.1
Episode 6744: lambda_i = 2, phi_i_L = 1.5999999999999996, phi_i_H = 9.199999999999987, Action: phi_i_H[2] increased by 0.1
Episode 6775: lambda_i = 2, phi_i_L = 1.4999999999999996, phi_i_H = 9.199999999999987, Action: phi_i_L[2] decreased by 0.1
Episode 6780: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 4.4, Action: phi_i_L[5] decreased by 0.1
Episode 6790: lambda_i = 4, phi_i_L = 0.1, phi_i_H = 4.699999999999999, Action: phi_i_H[4] increased by 0.1
Episode 6794: lambda_i = 1, phi_i_L = 0.2, phi_i_H = 7.099999999999989, Action: phi_i_H[4] increased by 0.1
Episode 6809: lambda_i = 0, phi_i_L = 0.10000000000000003, phi_i_H = 4.799999999999999, Action: phi_i_H[4] increased by 0.1
Episode 6822: lambda_i = 2, phi_i_L = 1.4999999999999996, phi_i_H = 9.199999999999987, Action: phi_i_H[4] increased by 0.1
Episode 6828: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 4.4, Action: phi_i_L[3] decreased by 0.1
Episode 6839: lambda_i = 1, phi_i_L = 0.2, phi_i_H = 7.099999999999989, Action: phi_i_L[3] decreased by 0.1
Episode 6851: lambda_i = 0, phi_i_L = 0.1, phi_i_H = 4.799999999999999, Action: phi_i_L[0] decreased by 0.1
Episode 6878: lambda_i = 1, phi_i_L = 0.2, phi_i_H = 7.099999999999989, Action: phi_i_L[0] decreased by 0.1
Episode 6880: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 4.5, Action: phi_i_H[5] increased by 0.1
Episode 6894: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 4.699999999999999, Action: phi_i_L[4] decreased by 0.1
Episode 6897: lambda_i = 2, phi_i_L = 1.4999999999999996, phi_i_H = 9.299999999999986, Action: phi_i_H[2] increased by 0.1
Episode 6899: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 4.5, Action: phi_i_H[2] increased by 0.1
Episode 6902: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 4.5, Action: phi_i_H[3] increased by 0.1
Episode 6910: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 4.699999999999999, Action: phi_i_H[3] increased by 0.1
Episode 6931: lambda_i = 0, phi_i_L = 0.1, phi_i_H = 4.799999999999999, Action: phi_i_H[3] increased by 0.1
Episode 6937: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 4.5, Action: phi_i_L[3] decreased by 0.1
Episode 6940: lambda_i = 2, phi_i_L = 1.4999999999999996, phi_i_H = 9.299999999999986, Action: phi_i_L[3] decreased by 0.1
Episode 6974: lambda_i = 0, phi_i_L = 0.1, phi_i_H = 4.799999999999999, Action: phi_i_L[0] decreased by 0.1
Episode 6986: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 4.6, Action: phi_i_H[5] increased by 0.1
Episode 6990: lambda_i = 1, phi_i_L = 0.2, phi_i_H = 7.199999999999989, Action: phi_i_H[1] increased by 0.1
Episode 6997: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 4.699999999999999, Action: phi_i_L[4] decreased by 0.1
Episode 6999: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 4.799999999999999, Action: phi_i_H[4] increased by 0.1
Episode 7016: lambda_i = 1, phi_i_L = 0.2, phi_i_H = 7.199999999999989, Action: phi_i_H[4] increased by 0.1
Episode 7028: lambda_i = 2, phi_i_L = 1.4999999999999996, phi_i_H = 9.299999999999986, Action: phi_i_H[4] increased by 0.1
Episode 7029: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 4.6, Action: phi_i_H[3] increased by 0.1
Episode 7034: lambda_i = 0, phi_i_L = 0.1, phi_i_H = 4.699999999999999, Action: phi_i_H[0] decreased by 0.1
Episode 7037: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 4.6, Action: phi_i_L[3] decreased by 0.1
Episode 7039: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 4.6, Action: phi_i_L[5] decreased by 0.1
Episode 7040: lambda_i = 2, phi_i_L = 1.3999999999999995, phi_i_H = 9.299999999999986, Action: phi_i_L[2] decreased by 0.1
Episode 7087: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 4.699999999999999, Action: phi_i_H[4] decreased by 0.1
Episode 7088: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 4.6, Action: phi_i_H[4] decreased by 0.1
Episode 7099: lambda_i = 1, phi_i_L = 0.2, phi_i_H = 7.199999999999989, Action: phi_i_H[4] decreased by 0.1
Episode 7111: lambda_i = 0, phi_i_L = 0.1, phi_i_H = 4.699999999999999, Action: phi_i_H[4] decreased by 0.1
Episode 7113: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 4.6, Action: phi_i_H[4] decreased by 0.1
Episode 7138: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 4.6, Action: phi_i_H[4] decreased by 0.1
Episode 7140: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 4.699999999999999, Action: phi_i_H[4] decreased by 0.1
Episode 7142: lambda_i = 1, phi_i_L = 0.30000000000000004, phi_i_H = 7.199999999999989, Action: phi_i_L[1] increased by 0.1
Episode 7153: lambda_i = 0, phi_i_L = 0.1, phi_i_H = 4.699999999999999, Action: phi_i_L[1] increased by 0.1
Episode 7172: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 4.699999999999999, Action: phi_i_L[1] increased by 0.1
Episode 7179: lambda_i = 2, phi_i_L = 1.2999999999999994, phi_i_H = 9.299999999999986, Action: phi_i_L[2] decreased by 0.1
Episode 7180: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 4.6, Action: phi_i_L[2] decreased by 0.1
Episode 7188: lambda_i = 2, phi_i_L = 1.2999999999999994, phi_i_H = 9.299999999999986, Action: phi_i_L[2] decreased by 0.1
Episode 7200: lambda_i = 1, phi_i_L = 0.30000000000000004, phi_i_H = 7.299999999999988, Action: phi_i_H[1] increased by 0.1
Episode 7231: lambda_i = 0, phi_i_L = 0.1, phi_i_H = 4.699999999999999, Action: phi_i_H[1] increased by 0.1
Episode 7240: lambda_i = 0, phi_i_L = 0.1, phi_i_H = 4.699999999999999, Action: phi_i_H[1] increased by 0.1
Episode 7255: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 4.699999999999999, Action: phi_i_H[3] increased by 0.1
Episode 7269: lambda_i = 1, phi_i_L = 0.30000000000000004, phi_i_H = 7.299999999999988, Action: phi_i_H[3] increased by 0.1
Episode 7270: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 4.699999999999999, Action: phi_i_L[4] decreased by 0.1
Episode 7271: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 4.699999999999999, Action: phi_i_H[5] increased by 0.1
Episode 7282: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 4.699999999999999, Action: phi_i_L[3] decreased by 0.1
Episode 7283: lambda_i = 1, phi_i_L = 0.30000000000000004, phi_i_H = 7.399999999999988, Action: phi_i_H[1] increased by 0.1
Episode 7284: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 4.699999999999999, Action: phi_i_L[5] decreased by 0.1
Episode 7291: lambda_i = 2, phi_i_L = 1.2999999999999994, phi_i_H = 9.299999999999986, Action: phi_i_L[5] decreased by 0.1
Episode 7320: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 4.799999999999999, Action: phi_i_H[4] increased by 0.1
Episode 7324: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 4.799999999999999, Action: phi_i_L[4] decreased by 0.1
Episode 7333: lambda_i = 2, phi_i_L = 1.2999999999999994, phi_i_H = 9.299999999999986, Action: phi_i_L[4] decreased by 0.1
Episode 7347: lambda_i = 0, phi_i_L = 0.1, phi_i_H = 4.699999999999999, Action: phi_i_L[0] decreased by 0.1
Episode 7360: lambda_i = 0, phi_i_L = 0.1, phi_i_H = 4.699999999999999, Action: phi_i_L[0] decreased by 0.1
Episode 7378: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 4.799999999999999, Action: phi_i_H[3] increased by 0.1
Episode 7383: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 4.799999999999999, Action: phi_i_H[3] increased by 0.1
Episode 7387: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 4.699999999999999, Action: phi_i_H[3] increased by 0.1
Episode 7391: lambda_i = 2, phi_i_L = 1.2999999999999994, phi_i_H = 9.299999999999986, Action: phi_i_H[3] increased by 0.1
Episode 7398: lambda_i = 1, phi_i_L = 0.30000000000000004, phi_i_H = 7.499999999999988, Action: phi_i_H[1] increased by 0.1
Episode 7405: lambda_i = 0, phi_i_L = 0.1, phi_i_H = 4.799999999999999, Action: phi_i_H[0] increased by 0.1
Episode 7409: lambda_i = 1, phi_i_L = 0.30000000000000004, phi_i_H = 7.499999999999988, Action: phi_i_H[0] increased by 0.1
Episode 7424: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 4.699999999999999, Action: phi_i_H[0] increased by 0.1
Episode 7450: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 4.799999999999999, Action: phi_i_L[4] decreased by 0.1
Episode 7462: lambda_i = 2, phi_i_L = 1.2999999999999994, phi_i_H = 9.299999999999986, Action: phi_i_L[4] decreased by 0.1
Episode 7465: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 4.799999999999999, Action: phi_i_L[4] decreased by 0.1
Episode 7483: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 4.799999999999999, Action: phi_i_L[4] decreased by 0.1
Episode 7497: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 4.699999999999999, Action: phi_i_L[4] decreased by 0.1
Episode 7498: lambda_i = 2, phi_i_L = 1.2999999999999994, phi_i_H = 9.399999999999986, Action: phi_i_H[2] increased by 0.1
Episode 7509: lambda_i = 1, phi_i_L = 0.30000000000000004, phi_i_H = 7.599999999999987, Action: phi_i_H[1] increased by 0.1
Episode 7536: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 4.799999999999999, Action: phi_i_L[4] decreased by 0.1
Episode 7539: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 4.799999999999999, Action: phi_i_H[5] increased by 0.1
Episode 7552: lambda_i = 0, phi_i_L = 0.1, phi_i_H = 4.699999999999999, Action: phi_i_H[0] decreased by 0.1
Episode 7553: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 4.799999999999999, Action: phi_i_H[0] decreased by 0.1
Episode 7563: lambda_i = 0, phi_i_L = 0.1, phi_i_H = 4.699999999999999, Action: phi_i_L[0] decreased by 0.1
Episode 7570: lambda_i = 1, phi_i_L = 0.30000000000000004, phi_i_H = 7.599999999999987, Action: phi_i_L[0] decreased by 0.1
Episode 7577: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 4.799999999999999, Action: phi_i_L[0] decreased by 0.1
Episode 7596: lambda_i = 1, phi_i_L = 0.30000000000000004, phi_i_H = 7.699999999999987, Action: phi_i_H[1] increased by 0.1
Episode 7598: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 4.799999999999999, Action: phi_i_H[1] increased by 0.1
Episode 7605: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 4.799999999999999, Action: phi_i_H[1] increased by 0.1
Episode 7622: lambda_i = 2, phi_i_L = 1.2999999999999994, phi_i_H = 9.399999999999986, Action: phi_i_H[1] increased by 0.1
Episode 7634: lambda_i = 2, phi_i_L = 1.2999999999999994, phi_i_H = 9.399999999999986, Action: phi_i_H[1] increased by 0.1
Episode 7644: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 4.799999999999999, Action: phi_i_H[1] increased by 0.1
Episode 7650: lambda_i = 1, phi_i_L = 0.20000000000000004, phi_i_H = 7.699999999999987, Action: phi_i_L[1] decreased by 0.1
Episode 7651: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 4.899999999999999, Action: phi_i_H[5] increased by 0.1
Episode 7673: lambda_i = 0, phi_i_L = 0.1, phi_i_H = 4.699999999999999, Action: phi_i_H[5] increased by 0.1
Episode 7700: lambda_i = 2, phi_i_L = 1.2999999999999994, phi_i_H = 9.399999999999986, Action: phi_i_H[5] increased by 0.1
Episode 7710: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 4.799999999999999, Action: phi_i_H[5] increased by 0.1
Episode 7711: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 4.799999999999999, Action: phi_i_L[3] decreased by 0.1
Episode 7717: lambda_i = 0, phi_i_L = 0.1, phi_i_H = 4.699999999999999, Action: phi_i_L[0] decreased by 0.1
Episode 7718: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 4.799999999999999, Action: phi_i_L[0] decreased by 0.1
Episode 7723: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 4.999999999999998, Action: phi_i_H[5] increased by 0.1
Episode 7727: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 4.999999999999998, Action: phi_i_H[5] increased by 0.1
Episode 7738: lambda_i = 2, phi_i_L = 1.2999999999999994, phi_i_H = 9.499999999999986, Action: phi_i_H[2] increased by 0.1
Episode 7752: lambda_i = 1, phi_i_L = 0.20000000000000004, phi_i_H = 7.699999999999987, Action: phi_i_H[2] increased by 0.1
Episode 7753: lambda_i = 0, phi_i_L = 0.1, phi_i_H = 4.6, Action: phi_i_H[0] decreased by 0.1
Episode 7754: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 4.899999999999999, Action: phi_i_H[3] increased by 0.1
Episode 7796: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 4.999999999999998, Action: phi_i_H[3] increased by 0.1
Episode 7798: lambda_i = 2, phi_i_L = 1.2999999999999994, phi_i_H = 9.499999999999986, Action: phi_i_H[3] increased by 0.1
Episode 7807: lambda_i = 0, phi_i_L = 0.1, phi_i_H = 4.6, Action: phi_i_L[0] decreased by 0.1
Episode 7811: lambda_i = 1, phi_i_L = 0.30000000000000004, phi_i_H = 7.699999999999987, Action: phi_i_L[1] increased by 0.1
Episode 7814: lambda_i = 3, phi_i_L = 0.1, phi_i_H = 4.899999999999999, Action: phi_i_L[3] increased by 0.1
Episode 7835: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 4.999999999999998, Action: phi_i_L[3] increased by 0.1
Episode 7858: lambda_i = 4, phi_i_L = 0.1, phi_i_H = 4.799999999999999, Action: phi_i_L[4] increased by 0.1
Episode 7862: lambda_i = 0, phi_i_L = 0.1, phi_i_H = 4.6, Action: phi_i_L[0] decreased by 0.1
Episode 7874: lambda_i = 2, phi_i_L = 1.2999999999999994, phi_i_H = 9.499999999999986, Action: phi_i_L[0] decreased by 0.1
Episode 7875: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 4.999999999999998, Action: phi_i_L[0] decreased by 0.1
Episode 7887: lambda_i = 3, phi_i_L = 0.1, phi_i_H = 4.899999999999999, Action: phi_i_L[0] decreased by 0.1
Episode 7903: lambda_i = 3, phi_i_L = 0.1, phi_i_H = 4.899999999999999, Action: phi_i_L[0] decreased by 0.1
Episode 7904: lambda_i = 2, phi_i_L = 1.2999999999999994, phi_i_H = 9.499999999999986, Action: phi_i_L[0] decreased by 0.1
Episode 7937: lambda_i = 0, phi_i_L = 0.1, phi_i_H = 4.5, Action: phi_i_H[0] decreased by 0.1
Episode 7942: lambda_i = 2, phi_i_L = 1.2999999999999994, phi_i_H = 9.499999999999986, Action: phi_i_H[0] decreased by 0.1
Episode 7948: lambda_i = 0, phi_i_L = 0.1, phi_i_H = 4.5, Action: phi_i_H[0] decreased by 0.1
Episode 7959: lambda_i = 1, phi_i_L = 0.30000000000000004, phi_i_H = 7.699999999999987, Action: phi_i_H[0] decreased by 0.1
Episode 7961: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 4.999999999999998, Action: phi_i_H[0] decreased by 0.1
Episode 7969: lambda_i = 4, phi_i_L = 0.1, phi_i_H = 4.799999999999999, Action: phi_i_H[0] decreased by 0.1
Episode 7977: lambda_i = 1, phi_i_L = 0.4, phi_i_H = 7.699999999999987, Action: phi_i_L[1] increased by 0.1
Episode 8000: lambda_i = 2, phi_i_L = 1.2999999999999994, phi_i_H = 9.499999999999986, Action: phi_i_L[1] increased by 0.1
Episode 8004: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 4.999999999999998, Action: phi_i_L[1] increased by 0.1
Episode 8007: lambda_i = 3, phi_i_L = 0.1, phi_i_H = 4.899999999999999, Action: phi_i_L[1] increased by 0.1
Episode 8012: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 4.899999999999999, Action: phi_i_L[3] decreased by 0.1
Episode 8016: lambda_i = 4, phi_i_L = 0.1, phi_i_H = 4.799999999999999, Action: phi_i_L[3] decreased by 0.1
Episode 8019: lambda_i = 0, phi_i_L = 0.1, phi_i_H = 4.4, Action: phi_i_H[0] decreased by 0.1
Episode 8059: lambda_i = 4, phi_i_L = 0.1, phi_i_H = 4.799999999999999, Action: phi_i_H[0] decreased by 0.1
Episode 8065: lambda_i = 1, phi_i_L = 0.4, phi_i_H = 7.599999999999987, Action: phi_i_H[1] decreased by 0.1
Episode 8081: lambda_i = 1, phi_i_L = 0.5, phi_i_H = 7.599999999999987, Action: phi_i_L[1] increased by 0.1
Episode 8085: lambda_i = 2, phi_i_L = 1.2999999999999994, phi_i_H = 9.499999999999986, Action: phi_i_L[1] increased by 0.1
Episode 8093: lambda_i = 0, phi_i_L = 0.1, phi_i_H = 4.4, Action: phi_i_L[0] decreased by 0.1
Episode 8118: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 4.999999999999998, Action: phi_i_L[0] decreased by 0.1
Episode 8124: lambda_i = 4, phi_i_L = 0.1, phi_i_H = 4.799999999999999, Action: phi_i_L[0] decreased by 0.1
Episode 8130: lambda_i = 0, phi_i_L = 0.1, phi_i_H = 4.300000000000001, Action: phi_i_H[0] decreased by 0.1
Episode 8132: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 4.899999999999999, Action: phi_i_H[0] decreased by 0.1
Episode 8134: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 4.999999999999998, Action: phi_i_H[0] decreased by 0.1
Episode 8137: lambda_i = 2, phi_i_L = 1.2999999999999994, phi_i_H = 9.499999999999986, Action: phi_i_H[0] decreased by 0.1
Episode 8167: lambda_i = 2, phi_i_L = 1.2999999999999994, phi_i_H = 9.399999999999986, Action: phi_i_H[2] decreased by 0.1
Episode 8169: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 4.799999999999999, Action: phi_i_H[3] decreased by 0.1
Episode 8178: lambda_i = 1, phi_i_L = 0.5, phi_i_H = 7.499999999999988, Action: phi_i_H[1] decreased by 0.1
Episode 8179: lambda_i = 4, phi_i_L = 0.1, phi_i_H = 4.799999999999999, Action: phi_i_H[1] decreased by 0.1
Episode 8186: lambda_i = 0, phi_i_L = 0.1, phi_i_H = 4.300000000000001, Action: phi_i_L[0] decreased by 0.1
Episode 8220: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 4.999999999999998, Action: phi_i_L[0] decreased by 0.1
Episode 8225: lambda_i = 0, phi_i_L = 0.1, phi_i_H = 4.200000000000001, Action: phi_i_H[0] decreased by 0.1
Episode 8231: lambda_i = 1, phi_i_L = 0.5, phi_i_H = 7.499999999999988, Action: phi_i_H[0] decreased by 0.1
Episode 8235: lambda_i = 2, phi_i_L = 1.1999999999999993, phi_i_H = 9.399999999999986, Action: phi_i_L[2] decreased by 0.1
Episode 8246: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 4.999999999999998, Action: phi_i_L[2] decreased by 0.1
Episode 8247: lambda_i = 0, phi_i_L = 0.1, phi_i_H = 4.200000000000001, Action: phi_i_L[0] decreased by 0.1
Episode 8250: lambda_i = 4, phi_i_L = 0.1, phi_i_H = 4.799999999999999, Action: phi_i_L[0] decreased by 0.1
Episode 8257: lambda_i = 2, phi_i_L = 1.1999999999999993, phi_i_H = 9.499999999999986, Action: phi_i_H[2] increased by 0.1
Episode 8287: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 4.799999999999999, Action: phi_i_H[2] increased by 0.1
Episode 8288: lambda_i = 4, phi_i_L = 0.1, phi_i_H = 4.799999999999999, Action: phi_i_H[2] increased by 0.1
Episode 8293: lambda_i = 0, phi_i_L = 0.1, phi_i_H = 4.200000000000001, Action: phi_i_H[2] increased by 0.1
Episode 8318: lambda_i = 1, phi_i_L = 0.5, phi_i_H = 7.399999999999988, Action: phi_i_H[1] decreased by 0.1
Episode 8332: lambda_i = 1, phi_i_L = 0.5, phi_i_H = 7.399999999999988, Action: phi_i_H[1] decreased by 0.1
Episode 8335: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 4.799999999999999, Action: phi_i_H[1] decreased by 0.1
Episode 8353: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 4.999999999999998, Action: phi_i_H[1] decreased by 0.1
Episode 8356: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 4.999999999999998, Action: phi_i_H[1] decreased by 0.1
Episode 8368: lambda_i = 0, phi_i_L = 0.1, phi_i_H = 4.200000000000001, Action: phi_i_L[0] decreased by 0.1
Episode 8380: lambda_i = 4, phi_i_L = 0.1, phi_i_H = 4.799999999999999, Action: phi_i_L[0] decreased by 0.1
Episode 8400: lambda_i = 2, phi_i_L = 1.0999999999999992, phi_i_H = 9.499999999999986, Action: phi_i_L[2] decreased by 0.1
Episode 8403: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 4.799999999999999, Action: phi_i_L[2] decreased by 0.1
Episode 8408: lambda_i = 4, phi_i_L = 0.1, phi_i_H = 4.799999999999999, Action: phi_i_L[2] decreased by 0.1
Episode 8409: lambda_i = 2, phi_i_L = 1.0999999999999992, phi_i_H = 9.499999999999986, Action: phi_i_L[2] decreased by 0.1
Episode 8413: lambda_i = 1, phi_i_L = 0.5, phi_i_H = 7.399999999999988, Action: phi_i_L[2] decreased by 0.1
Episode 8425: lambda_i = 0, phi_i_L = 0.1, phi_i_H = 4.200000000000001, Action: phi_i_L[2] decreased by 0.1
Episode 8427: lambda_i = 1, phi_i_L = 0.4, phi_i_H = 7.399999999999988, Action: phi_i_L[1] decreased by 0.1
Episode 8484: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 5.099999999999998, Action: phi_i_H[5] increased by 0.1
Episode 8488: lambda_i = 4, phi_i_L = 0.1, phi_i_H = 4.799999999999999, Action: phi_i_H[5] increased by 0.1
Episode 8492: lambda_i = 0, phi_i_L = 0.1, phi_i_H = 4.200000000000001, Action: phi_i_H[5] increased by 0.1
Episode 8511: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 4.799999999999999, Action: phi_i_L[3] decreased by 0.1
Episode 8516: lambda_i = 2, phi_i_L = 0.9999999999999992, phi_i_H = 9.499999999999986, Action: phi_i_L[2] decreased by 0.1
